EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
36,204.196,204.296,196.678,197.65,0,1
37,201.29,205.65,200.73,203.95,0,1
38,193.31,202.15,192.3,201.51,0,1
39,186.88,192.24,186.59,191.58,0,1
42,187.91,189.88,183.94,187.78,0,1
43,185.46,188.24,184.76,187.81,0,1
44,187.06,189.73,184.92,185.12,0,1
45,185.31,190.71,185.17,189.2,0,1
46,184.82,187.06,180.1,186.45,0,1
49,185.29,186.33,182.44,183.74,0,1
50,187.6,191.75,186.59,186.92,0,1
51,190.43,191.53,185.62,188.49,0,1
52,191.3,191.31,185.97,189.35,0,1
53,190.48,192.75,189.82,192.08,0,1
57,185.78,190.31,185.54,188.95,0,1
58,185.7241,188.9359,183.2066,186.7142,0,1
59,191.12,191.3,185.61,186.58,0,1
60,189.53,193.35,188.54,192.54,0,1
63,187.03,190.53,186.89,187.9,0,1
64,194.8,194.805,187.962,188.104,0,1
65,193.06,197.23,193.06,196.42,0,1
66,196.45,196.94,189.11,193.68,0,1
67,193.09,197.52,192.48,195.9,0,1
70,190.58,195.05,190.31,193.98,0,1
71,193.069,193.306,188.871,190.26,0,1
72,192,195.35,189.07,194.72,0,1
73,195.3,195.93,191.31,193.12,0,1
74,195.15,195.27,193.81,194.36,0,1
77,193.88,197.2,193.3,195.23,0,1
78,193.39,195.74,193.06,193.82,0,1
79,200.86,201.8,194.68,195.33,0,1
80,199.78,202.8,193.81,200.59,0,1
81,202.23,204.67,200.17,201.18,0,1
84,201.91,203.95,201.42,203.17,0,1
85,200.96,203.8,200.3,202.65,0,1
86,202.85,203.04,200.36,201.8,0,1
87,208.7,208.89,202.71,203.79,0,1
88,209.46,209.46,205.96,207.59,0,1
91,211.39,211.67,209.52,209.81,0,1
93,210.52,211.19,207.61,210.55,0,1
94,211.383,212.477,210.779,211.476,0,1
95,210.01,213.73,207.73,212.81,0,1
98,208.89,212.4,207.98,211.51,0,1
99,212.068,212.312,206.308,209.043,0,1
100,208.42,211.16,208.16,210.83,0,1
101,204.21,208.96,203.21,206.79,0,1
102,201.55,205.54,199.11,204.96,0,1
105,203.741,205.294,201.658,202.11,0,1
106,201.32,205.08,198.67,204.67,0,1
107,199.3,200.37,197.13,197.31,0,1
108,193.37,202.02,192.64,201.94,0,1
109,194.859,195.679,188.656,192.877,0,1
112,195.25,196.75,190.41,196.21,0,1
113,194.49,195.46,191.71,192.32,0,1
114,192.56,195.76,191.31,193.91,0,1
115,191.01,193.55,188.79,193.49,0,1
116,193.87,194.59,190.67,190.81,0,1
119,193.11,194.39,191.46,193.81,0,1
120,187.57,192.69,187.57,192.36,0,1
121,183.43,188.4,182.42,187.62,0,1
122,187.51,188.77,181.5,182.31,0,1
123,186.74,190.15,185.69,189.59,0,1
126,188.79,189.68,185.39,185.56,0,1
127,190.31,192.06,189.36,191.22,0,1
128,188.28,192.15,187.99,191.7,0,1
129,186.91,188.65,186.04,186.75,0,1
130,184.07,187.45,183.82,187.01,0,1
133,184.53,187.38,184.15,185.56,0,1
134,190.2945,190.6441,186.1137,186.8679,0,1
135,193.67,194.03,190.87,191.55,0,1
136,192.71,194.8,191.77,193,0,1
137,191.49,193.35,190.18,192.96,0,1
140,188.46,189.31,187.42,188.86,0,1
141,188.9559,189.4404,187.2326,188.6782,0,1
142,186.53,188.95,186.14,188.63,0,1
143,186.68,188.01,185.94,187.03,0,1
144,186.44,187.47,186.06,186.35,0,1
147,190.28,190.28,187.31,187.62,0,1
148,189.29,190.97,188.41,190.2,0,1
149,190.18,192.13,189.07,189.42,0,1
150,189.0757,190.8839,188.9109,190.5563,0,1
151,189.111,190.449,188.406,190.307,0,1
155,191.99,192.51,188.53,189.75,0,1
156,189.88,191.4,189.64,190.86,0,1
157,189.06,190.68,188.51,189.51,0,1
158,188.74,190.2,188.17,188.17,0,1
161,191.85,192.15,188.7,188.94,0,1
162,195.75,196.17,192.25,192.31,0,1
163,203.08,203.18,197.35,197.38,0,1
164,201.79,202.94,200.76,201.95,0,1
165,204.74,204.82,203.17,203.54,0,1
168,207.14,209.14,204.53,204.8,0,1
169,201.7,207.54,196.17,207.52,0,1
170,198.3,203.49,197.11,203.35,0,1
171,203.22,204.02,199.73,199.95,0,1
172,201.69,203.52,200.48,202.29,0,1
175,201.79,204.52,201.05,202.59,0,1
176,203.23,203.64,200.68,202.55,0,1
177,201.26,205.4,200.98,202.95,0,1
178,201.59,203.29,200.07,201.84,0,1
179,200.749,202.607,200.504,202.36,0,1
182,200.52,202.8,200.2,200.75,0,1
183,201.82,203.03,198.9,200.44,0,1
184,207.64,207.68,201.32,202.28,0,1
185,205.7,208.91,205.22,207.14,0,1
186,210.0398,210.744,204.6702,204.9049,0,1
189,214.29,215.76,211.5,212.19,0,1
190,213.11,218.71,210.98,215.56,0,1
191,213.04,214.74,211.67,212.3,0,1
192,213.51,214.63,211.79,214.07,0,1
193,213.44,214.54,212.57,213.67,0,1
196,210.66,214.39,210.46,213.64,0,1
197,210.11,211.663,208.143,209.94,0,1
198,209.445,212.163,208.541,211.286,0,1
199,212.82,227.23,209.58,209.9,0,1
200,229.61,229.82,226.57,229.27,0,1
203,240.15,242.08,229.95,230.91,0,1
204,236.42,238.69,235.47,237.9,0,1
205,243.057,244.006,237.317,238.506,0,1
206,242.31,245.73,241.86,243.6,0,1
207,237.362,242.377,236.009,241.709,0,1
TIMEZONE_OFFSET=-300
a1162242000,238.05,239.99,234.77,237.17,0,1
1,237.96,240.84,236.68,238.79,0,1
2,233.516,239.325,232.397,239.138,0,1
3,234.72,236.63,232.96,233.52,0,1
4,235.6631,236.6381,232.2982,235.8789,0,1
7,238.24,239.59,235.93,236.65,0,1
8,236.049,239.27,235.649,238.239,0,1
